b'putrabenni7'|1
b'TheAsianist'|7
b'kangdede78'|3
b'BEMREMA_UPI'|1
b'ibnuakmal'|1
b'VikramNehru'|1
b'masarrang1305'|1
b'IramaNusantara'|1
b'Bionic_Dolphins'|1
b'dryangsmith'|1
b'bewaraco'|2
b'pribumi_org'|1
b'BEMUNJ_OFFICIAL'|1
b'p1pod3mimo'|1
b'BEMUI_Official'|1
b'Diplomat_APAC'|14
b'BBCIndonesia'|8
b'Dewine_'|1
b'PTPERTAMINA'|1
b'PurePapua'|1
b'QHATIQ'|21
b'PartaiDemokrat'|1
b'luviku'|1
b'Pak_JK'|3
b'prettyphilia'|1
b'tannusantara'|1
b'susan_boy'|1
b'Adam_LFC26'|1
b'AhmadNeptune'|1
b'sattoraji'|1
b'cendananews'|4
b'PDemokrat'|1
b'KESDM'|1
b'saripuspitaayu'|1
b'KabarNegeri'|1
b'DeadlockHeaven'|2
b'UN'|2
b'liardi'|1
b'asalnyeplos'|1
b'setkabgoid'|2
b'TonyAbbottMHR'|2
b'kakprie'|1
b'vta_jerniawanty'|1
b'KM_ITB'|1
b'hariadhi'|1
b'irfadio'|1
b'JaredKohler'|1
b'IPachroel'|1
b'NBRnews'|6
b'LenteraMerahPut'|4
b'InfoPDIP'|1
b'Politikcerdas'|2
b'lemondefr'|1
b'naswa00_naswa'|1
b'infopolitik'|1
b'Football_ID'|1
b'PartaiSocmed'|2
b'jokowi_do2'|40
b'thejakartaglobe'|1
b'Jokowi4Me'|1
b'Sembanyu'|1
b'kompasiana'|1
b'johndory49'|1
b'bem_unpad'|1
b'aditya_gera'|4
b'indonesiansvote'|1
b'Aris_wonosobo'|1
b'ekosusilo'|2
b'ypaonganan'|1
b'Fridafloe'|1
b'rudyno1'|2
b'panca66'|8
b'jpnncom'|33
b'PDI_Perjuangan'|2
b'davangga'|1
b'WidaGardena'|2
b'PartaiDemokrat1'|1
b'Budiyanto2010'|1
b'1Hendorable1'|1
b'lanicommen'|1
b'fioblue'|1
b'jimmy_atp'|2
